| Task Type | Task | Task Percentage | Description | Deadline | Milestone/Deliverable |
|---|---|---|---|---|---|
| Core | Team Formation and Project Proposal | 10% | Teams form and submit a proposal outlining the project scope and objectives. | September 5, 2023 | N/A |
| Core | Ergonomic Assessment Report | 15% | Conduct an ergonomic assessment of an existing system or product. | September 26, 2023 | N/A |
| Core | User Needs Analysis | 15% | Analyze user needs and requirements for the project. | October 17, 2023 | N/A |
| Core | Preliminary Design Review | 15% | Presentation of initial design concepts and user feedback. | November 7, 2023 | N/A |
| Core | Midterm Progress Report | 10% | Report on progress, challenges, and next steps. | December 5, 2023 | N/A |
| Core | Detailed Design Document | 15% | Create a comprehensive design document with detailed drawings and specifications. | February 15, 2024 | N/A |
| Core | Usability Testing Report | 10% | Report on usability testing and design iterations. | March 20, 2024 | N/A |
| Core | Final Presentation and Demonstration | 10% | Final presentation and demonstration of the project. | April 10, 2024 | N/A |
| Support | N/A | N/A | Regular attendance is required. | N/A | N/A |
| Support | N/A | N/A | Access and use ergonomic assessment tools (REBA, RULA) for assignments. | N/A | N/A |
| Support | N/A | N/A | Utilize prototyping materials for project requirements. | N/A | N/A |
| Support | N/A | N/A | Adhere to the university's academic integrity policy. | N/A | N/A |
