| Task Type | Task | Task Percentage | Description | Deadline | Milestone/Deliverable |
| --- | --- | --- | --- | --- | --- |
| Core | Device Design Report | 15% | Submit a report on the concept of "engineering design" by investigating key design decisions in household electro-mechanical devices. | 2013-10-07 @ 0900 | N/A |
| Core | Multiple Design Brief | 10% | Create multiple design briefs as a team. | N/A | N/A |
| Core | Multiple Conceptual Design | 25% | Complete multiple conceptual designs as a team. | N/A | N/A |
| Core | Detailed Design | 5% | Submit a detailed design. | 2013-10-07 @ 2400 | N/A |
| Core | Design Portfolio | 20% | Maintain a publicly accessible website or equivalent to showcase design work and reflect on design experiences. | 2013-12-04 @ 2400 | N/A |
| Core | Final Examination | 25% | Complete a written exam focusing on framing and requirements, implementing "Design for X," and critical self-reflection. | Likely 2013-12-06 or 2013-12-09 | N/A |
| Support | Lectures | N/A | Attend lectures to learn key concepts, examples, and connections to other materials. | N/A | N/A |
| Support | Design Studios | N/A | Participate in weekly design studios to support project work and meet specific learning objectives. | N/A | N/A |
| Support | Independent Learning | N/A | Continue to develop independent learning and reflective skills throughout the term. | N/A | N/A |
| Support | Reading | N/A | Read the textbook "Engineering Communication From Principles to Practice, 2nd Edition" by Irish and Weiss, focusing on principles 1,3-8, and 10. | N/A | N/A |
| Support | Online Resources | N/A | Utilize various online resources such as Blackboard, course downloads, Twitter feed, tickets, surveys, and real-time communication tools. | N/A | N/A |
| Support | Workload Management | N/A | Manage workload by spending an average of one hour outside of class for every hour of classroom time. | N/A | N/A |
| Support | Plagiarism Awareness | N/A | Understand and avoid plagiarism by properly attributing sources and not submitting work done by others. | N/A | N/A |
| Support | Copyright Compliance | N/A | Respect copyright by not recording or reproducing copyrighted materials without permission. | N/A | N/A |
| Support | English Proficiency | N/A | Demonstrate English proficiency in written work, with a focus on Praxis I written components. | N/A | N/A |
| Support | Public Disclosure | N/A | Be aware that submitted deliverables may be used for teaching, learning, and research purposes. | N/A | N/A |
| Support | Turnitin Usage | N/A | Agree to submit required papers to Turnitin.com for plagiarism detection, with intellectual property protection. | N/A | N/A |
| Support | Course Feedback | N/A | Provide feedback on the course to improve the experience for current and future students. | N/A | N/A |
